"37";"Lunar Warehouse Rescue Part 1";"superjoe";"Yeah I'll fix that for you.";"2008-03-25 18:33:11"
"9";"Fluid Motion";"SpainishInquisition0";"Fast paced and hectic makes for a very challenging level. The level design's really creative as well.";"2008-03-18 15:42:22"
"36";"Lunar Warehouse Rescue Part 1";"KickCheat";"I made a mistake, can someone fix it so it is on stage 5.1 and difficulty is hard?";"2008-03-25 01:02:08"
"35";"Fluid Motion";"Darthfett";"I remembered loving this level.  Very fun, and has a nice design.";"2008-03-23 21:21:20"
"34";"Andy's Alternate Stage 1.1";"Darthfett";"Whoah, Andy's got a new site! :D";"2008-03-23 21:15:36"
"33";"Ahhhh! Meteors!";"Sterance";"SO HARD";"2008-03-23 20:01:49"
"38";"Lunar Warehouse Rescue Part 2";"superjoe";"This is my favorite level of yours.";"2008-03-25 19:32:26"
"39";"Forever Forest";"superjoe";"I like the concept.";"2008-03-25 19:46:56"
"40";"Spaceship";"superjoe";"I got transported to hell and then a platform came and saved me!

then I died";"2008-03-25 20:21:54"
"41";"Glitched";"superjoe";"This level is insane!";"2008-03-25 20:34:37"
"42";"Lunar Warehouse Rescue Part 3";"Darthfett";"This seems really easy, I did it without taking a hit the first try.";"2008-03-27 12:18:37"
"43";"Lunar Warehouse Rescue Part 2";"Darthfett";"How is this possible?";"2008-03-27 12:20:28"
"44";"Lunar Warehouse Rescue Part 2";"superjoe";"I beat it one time. I sat there for 5 hours and I beat it.";"2008-03-27 13:03:12"
"45";"dddddddddddddddddddddddddddddddd";"superjoe";"This isn't really even a level";"2008-03-29 05:11:22"
"46";"ccccccccccccccccccccccccccccccc";"superjoe";"You should playtest your levels to make sure they work before posting them.";"2008-03-29 05:13:16"
"47";"jaro";"superjoe";"I like the elevator with the things shooting you on the way up";"2008-03-29 05:15:29"
"48";"magicland";"superjoe";"This level isn't very well thought out.";"2008-03-29 05:16:56"
"49";"sss";"superjoe";"This is just spam.";"2008-03-29 05:17:48"
"50";"Falling, Foo!";"superjoe";"I found number 7!";"2008-04-04 23:16:29"
"51";"Cloud Jumper";"Darthfett";"Wait a minute... this isn't the level I made a long time ago.

But this is the name of it.. >.>";"2008-04-06 12:36:55"
"52";"Trial & Error";"superjoe";"Victory is mine";"2008-04-14 17:54:40"
"53";"Cloud Jumper";"superjoe";"SO HARD";"2008-04-14 18:09:11"
"54";"Cloud Jumper";"superjoe";"A WINNER IS ME";"2008-04-14 18:11:17"
"55";"ufo";"Pokemoonony";"boring";"2008-04-24 12:12:40"
"56";"Trial & Error";"Pokemoonony";"2,3,3,1,3,4!";"2008-04-24 12:28:21"
"57";"jail";"Pokemoonony";"easy";"2008-04-25 05:02:07"
"58";"jail";"Imabell";"HEY WAIT A MINUTE! THIS IS DENNIS DUNJINMAN'S! Only, with those signs. Wait, how did you...?";"2008-04-27 15:40:02"
"59";"ufo";"zimdelinvasor";"Too easy, too boring, too repetitive, too long. You just keep running to the right for a long time and then you win.";"2008-05-02 11:32:40"
"60";"magicland";"zimdelinvasor";"I find it kind of funny that every single level with 0% for a rating was created by this guy.";"2008-05-02 11:44:30"
"61";"Andy's Alternate Stage 1.1";"zimdelinvasor";"Fun";"2008-05-02 18:58:10"
"62";"Ahhhh! Meteors!";"zimdelinvasor";"Hard, but really fun!";"2008-05-02 18:59:01"
"63";"chicken";"zimdelinvasor";"Incredibly easy.";"2008-05-02 19:01:47"
"64";"evil zone";"zimdelinvasor";"Is it just me or is it impossible to do anything?";"2008-05-02 19:05:42"
"65";"jaro";"zimdelinvasor";"Short, but really fun. Designed really well. I loved it, especially the elevator part.";"2008-05-03 13:25:57"
"66";"Fluid Motion";"X_On_Fire";"Oh, Superjoe, you evil genius.  This is very hard.";"2008-05-10 17:17:03"
"67";"Forever Forest";"X_On_Fire";"Clever!";"2008-05-10 20:36:53"
"68";"Hell's Kitchen";"superjoe";"Tough level - but very cool.";"2008-05-15 23:54:47"
"69";"Warp pads and ladders and death!";"superjoe";"Interesting concept. I got tricked by the 3rd one and died. I'll have to come back and try beating this when I'm fresh.";"2008-05-16 00:09:29"
"70";"A Walk Home";"zimdelinvasor";"There were some things that could have been improved on, such as some sloppy-looking platforms, but overall it was pretty good. I DON'T LIKE DRILLS.";"2008-05-21 13:50:41"
"71";"A Walk Home";"superjoe";"Hey at least you can see the drills. I swear those invisible platforms have a death wish for me.";"2008-05-22 19:26:01"
"72";"Winter Wonderland";"superjoe";"Very well crafted level. I especially like the elevator part. It would have been even more cool if you put made the elevator go all the way up to th ceiling, and then put downward spikes so that if you miss the jump you get impaled. *evil grin*";"2008-05-22 19:39:59"
"73";"Kitchen Stronghold";"gunsnrosesfan";"If anybody wants a walkthrough on this level, e-mail me at soccernick64@wowway.com";"2008-05-23 12:32:20"
"74";"Demo Level";"gunsnrosesfan";"READ BEFORE PLAYING!

Forgot to adjust length and difficulty.

Length: Short
Difficulty: Medium";"2008-05-23 12:36:56"
"75";"evil zone";"John";"It is. There's nothing there.";"2008-05-24 16:26:27"
"76";"tower";"John";"There's nothing there.";"2008-05-24 16:43:54"
"77";"Demo Level";"superjoe";"Fixed. :)";"2008-05-27 04:02:37"
"78";"Demo Level";"superjoe";"Pretty fun, even for a demo.";"2008-05-27 04:05:50"
